No,DPO equation,BG,IP,EA,smiles
F7.14,3 - 3*a + b + b*d + d*d + d*d*(1-a) + -af,3.096,5.28,2.185,s1ccc2c1cc1cc3c(ccc4c3cc3ccc5c(cc6c(c5)cccc6)c3c4)cc1c2
F7.15,2 - a + b + d + 2*b*d + -af,3.847,5.61,1.762,s1ccc2cc3c(cc12)c1c(cc3)c2c3ccccc3c3ccccc3c2cc1
F7.16,3 - 3*a + 2*b + cf,3.008,5.297,2.289,s1ccc2c1c1c(cc2)ccc2cc3cc4ccc5ccccc5c4cc3cc12
F7.17,3 - 3*a + b + c + bf,2.772,5.171,2.399,s1ccc2ccc3cc4cc5ccc6c(c5cc4cc3c12)c1c(cccc1)cc6
F7.18,2 - a + b + df + c + b*d,3.428,5.468,2.039,s1ccc2c1c1c(ccc3c1cccc3)c1c2ccc2cc3ccccc3cc12
F7.19,2 - a + b + df*df + c + b*d,3.41,5.474,2.064,s1ccc2c1ccc1c2c2c(cc1)c1c(ccc3cc4ccccc4cc13)cc2
F7.20,2 - a + 2*b + c + cf,3.442,5.476,2.034,s1ccc2c1c1c(cc2)ccc2cc3c(ccc4c3c3c(cccc3)cc4)cc12
F7.21,2 - a + b + c + b*d + c*df,3.424,5.465,2.041,s1ccc2c1c1c(cc2)c2c(cc1)c1c(ccc3cc4ccccc4cc13)cc2
F7.22,3 - 3*a + 2*b + bf,3.108,5.34,2.232,s1ccc2c1c1c(cccc1)c1c2cc2cc3c(ccc4c3cccc4)cc2c1
F7.23,3 - 3*a + 2*b + bf,3.024,5.324,2.3,s1ccc2c1c1cc3cc4c5ccccc5c5ccccc5c4cc3cc1cc2
F7.24,2 - a + 3*b + bf,3.859,5.717,1.858,s1ccc2c1c1cc3c4ccccc4c4ccccc4c3cc1c1c2cccc1
F8.1,6 - 15*a + b + -af,1.743,4.66,2.916,s1ccc2cc3cc4cc5cc6c(cc7c8c(ccc7c6)cccc8)cc5cc4cc3cc12
F8.2,5 - 10*a + b + b*d + -af,2.173,4.862,2.689,s1ccc2cc3c(cc12)cc1cc2cc4c5c(ccc4cc2cc1c3)cc1ccccc1c5
F8.3,5 - 10*a + b + d + -af,2.044,4.802,2.758,s1ccc2cc3c(cc12)cc1cc2cc4c(ccc5c4ccc4c5cccc4)cc2cc1c3
F8.4,4 - 6 *a + b + d + d*(1-a) + -af,2.402,4.967,2.565,s1ccc2cc3c(cc12)cc1cc2c(ccc4c2ccc2c4cc4ccccc4c2)cc1c3
F8.5,4 - 6*a + b + c + c*d + -af,2.355,4.935,2.58,s1ccc2cc3c(cc12)cc1cc2c4c(ccc2cc1c3)ccc1cc2ccccc2cc41
F8.6,3 - 3*a + b + c + b*d + c*d + -af,3.058,5.245,2.187,s1ccc2c1cc1cc3c(ccc4c3c3c(cc4)c4c(cc3)c3c(cccc3)cc4)cc1c2
F8.7,3 - 3*a + b + b*d + d*d + (1-a)*d*d + -af,3.096,5.28,2.184,s1ccc2cc3c(cc12)cc1c(ccc2c1cc1ccc4c(cc5ccccc5c4)c1c2)c3
F8.8,3 - 3*a + b + d + d*(1-a) + d*b + -af,2.944,5.205,2.261,s1ccc2cc3cc4c(cc3cc12)c1c(cc4)c2c(cc1)cc1c3c(ccc1c2)cccc3
